Year,Month,taMax,taMin,prcp
2006,1,0.6383870967741935,-6.1980645161290315,443.62841999999995
2006,10,9.14258064516129,-1.1945161290322581,73.96037
2006,11,3.429666666666667,-2.4793333333333325,300.92762
2006,12,-0.5635483870967742,-6.551290322580646,580.08197
2006,2,2.836785714285714,-6.36892857142857,295.80008999999995
2006,3,6.840967741935483,-4.378387096774193,72.62325
2006,4,7.712999999999999,-4.347333333333333,80.86238999999999
2006,5,13.809999999999999,0.8012903225806451,51.23453
2006,6,18.93066666666667,3.2479999999999998,20.39537
2006,7,20.637741935483874,6.681290322580647,34.03652
2006,8,22.11225806451613,7.441612903225805,21.160280000000004
2006,9,17.287,3.049666666666668,12.396889999999999
2007,1,-1.5883870967741938,-7.487419354838711,486.64639999999997
2007,10,5.67032258064516,-1.3683870967741933,401.91433000000006
2007,11,1.938666666666666,-3.892333333333334,503.2199800000001
2007,12,-3.6816129032258065,-10.924516129032257,294.06211999999994
2007,2,0.9789285714285715,-6.849642857142856,268.51148
2007,3,1.6554838709677415,-6.148387096774193,246.73271999999997
2007,4,5.961666666666668,-3.8253333333333335,127.41222
2007,5,11.640322580645162,-0.13967741935483832,149.40983
2007,6,16.19366666666667,2.867,24.04014
2007,7,19.93032258064516,5.212258064516129,11.80037
2007,8,20.38612903225807,8.088709677419354,27.60543
2007,9,16.131666666666668,7.3740000000000006,45.31983
2008,1,-4.43,-12.169354838709676,449.89502
2008,10,5.340645161290323,-2.196451612903226,144.87017999999998
2008,11,-0.9260000000000003,-5.9896666666666665,339.94907000000006
2008,12,-6.453548387096772,-14.845161290322585,141.2916
2008,2,4.35103448275862,-5.905862068965518,116.42699
2008,3,4.3106451612903225,-5.3490322580645175,113.99258999999999
2008,4,8.684333333333333,-4.175333333333334,46.265589999999996
2008,5,8.690967741935484,-2.093225806451613,170.37387999999999
2008,6,15.895666666666664,3.3160000000000003,26.38977
2008,7,22.65032258064516,7.257096774193549,23.83592
2008,8,18.95935483870967,6.727419354838708,18.582169999999998
2008,9,16.382666666666665,3.9990000000000006,66.84007
2009,1,1.1035483870967742,-5.526774193548387,442.73303000000004
2009,10,13.345161290322578,1.439999999999999,135.43051
2009,11,-0.10199999999999994,-6.766666666666666,466.73292
2009,12,0.9854838709677419,-5.303870967741937,460.78893
2009,2,3.893571428571428,-6.81857142857143,14.8269
2009,3,4.278387096774194,-5.444193548387095,129.95480999999998
2009,4,4.731333333333334,-4.536333333333333,218.27509
2009,5,12.118064516129033,0.865483870967742,90.05360000000002
2009,6,15.543666666666669,4.080666666666667,55.5408
2009,7,21.621612903225802,6.886129032258064,15.419820000000001
2009,8,19.84451612903226,5.560645161290324,6.805230000000001
2009,9,17.135,5.539666666666667,61.43685
2010,1,1.923548387096774,-5.770645161290324,373.73842
2010,10,3.2470967741935493,-3.1012903225806445,229.27963000000005
2010,11,0.5333333333333335,-5.401666666666666,385.66431000000006
2010,12,-6.930322580645162,-15.043225806451611,247.23686
2010,2,2.9771428571428564,-5.990714285714284,202.22880999999995
2010,3,4.440322580645161,-5.3190322580645155,253.80148999999997
2010,4,8.804333333333336,-3.0050000000000003,91.31836
2010,5,14.050967741935485,-0.43483870967741917,42.93532
2010,6,18.262,3.6853333333333333,33.717639999999996
2010,7,20.219354838709684,6.098064516129032,27.551460000000002
2010,8,18.59548387096774,5.9077419354838705,73.59083000000001
2010,9,14.361333333333333,4.952333333333333,134.62651
2011,1,-0.8341935483870969,-7.375483870967741,556.38341
2011,10,7.964516129032258,-0.12645161290322585,207.09010999999998
2011,11,1.366,-3.9203333333333332,296.0868799999999
2011,12,-1.973225806451613,-7.381612903225804,393.24651
2011,2,-1.1114285714285714,-8.831785714285715,293.74878999999993
2011,3,0.7783870967741935,-6.739354838709678,308.7674600000001
2011,4,5.491666666666665,-4.3663333333333325,93.46839
2011,5,10.564516129032262,-2.411290322580645,47.5861
2011,6,18.859333333333336,4.321000000000001,24.958409999999997
2011,7,20.153225806451616,5.726774193548386,27.194839999999996
2011,8,20.48258064516129,7.4403225806451605,34.123259999999995
2011,9,14.799666666666665,2.855333333333333,41.193720000000006
2012,1,0.3493548387096774,-5.838709677419355,505.3347300000001
2012,10,7.51451612903226,0.3074193548387098,235.2788
2012,11,3.220333333333334,-2.854,344.82766999999996
2012,12,0.3032258064516129,-5.6870967741935505,607.7736900000001
